CodeCal_SRB,NFos,Fossil taxon,Minimum age,Node calibrated,Big clade (of clade calibrated),Order (of clade calibrated),Family (of clade calibrated),Reference (first description),Reference (latest description),Organs,Specimens,Locality,Formation,Country,Reference (age),Absolute age source,Oldest stratigraphic age,Reference time scale,Age quality score,Age justification,Reference (fossil relationships),Crown or stem?,Clade calibrated (= node calibrated if by crown),Node assignment score,Reconciliation score,Node justification,Calibration,Safe minimum age (Ma),Full taxon name,Full reference (fossil relationships),Full reference (first description),Full reference (latest description),Full reference (age)
included,330,†earliest angiosperm-like pollen grains,132.1,stem Angiospermae,Angiospermae,,,Brenner (1996),,Pollen,Numbers not provided; Fig. 54A-D of Brenner 1996 (book chapter),"Kokhav 2 borehole, core 5, lower sand member (H1), Coastal Plain of Israel",Helez Formation,Israel,Magallón et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Early Hauterivian,Ogg & Hinnov (2012),4 / revised (stratigraphic),"Magallón et al 2015 (NewPhytol): ""Possibly the oldest angiosperm pollen grains are small, circular and inaperturate (or possibly with a weak aperture, J. A. Doyle, pers. comm. to S.M., 2012), with a columellar and perforate to reticulate wall structure (Brenner, 1996), found in a core sample of the lower Sand Member (unit H1) of the Helez Formation, Israel. This unit is dated as late Valanginian to early Hauterivian on the basis of bracketing by early Hauterivian ammonites and Valanginian foraminifera and ostracods. Late Hauterivian sediments from the same cores contain a higher diversity of angiosperm pollen grains (Brenner, 1996).""",Magallón et al (2015),stem,Angiospermae,4 / apomorphy-based (apomorphies listed and tested),3 / molecular tree only,"Node assignment revised from Magallón et al 2015 (NewPhytol), who concluded: ""It is uncertain whether the Valanginian-early Hauterivian pollen grains with a columellar and perforate to reticulate wall structure are angiosperm stem representatives or crown group members. We here interpret them either as crown members, based on the distribution of ultrastructural attributes of the pollen wall among the earliest branches of extant angiosperms (i.e., Amborella, Nympnaeales, and Austrobaileyales + Mesangiospermae), or as stem representatives that existed shortly before the crown diversification of the group. The latter interpretation is supported by the unequivocal progressive and pronounced increase in diversity, abundance and distribution of angiosperm micro- and macrofossils starting in immediately younger sediments, until they become ubiquitous ecologically and geograhically at a Global level. These pollen grains are considered to mark the earliest occurrence of crown group angiosperms in the fossil record, and to provide the minimum age of the group.""","stem Angiospermae, min 132.1 Ma",132.1 Ma,†earliest angiosperm-like pollen grains Brenner,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Brenner GJ. 1996. Evidence for the earliest stage of angiosperm pollen evolution: a paleoequatorial section from Israel. In: Taylor DW, Hickey LJ, eds. Flowering Plant Origin, Evolution & Phylogeny. New York, NY: Chapman & Hall, 91–115.",,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453."
included,378,†Hauterivian-Cactisulc,129.4,stem Angiospermae,Angiospermae,,,Hughes & McDougall (1987),,Pollen,"Biorecord locality: Hunstanton borehole, HUN210; prep. X425, stub AM208, film AMD98. Plate V, 1-4.","Hunstanton borehole, Norfolk, England",,UK,Hughes & McDougall (1987),stratigraphic (upper limit of oldest stratigraphic age),Hauterivian,ICS (v2017/02),2 / unrevised (old source < 2000),"Hughes & McDougall 1987 (RevPalPal): ""Although our earliest angiospermid pollen (e.g. Warlingham 1415/6) was believed to be early Barremian in age, it was realised that there was no close stratigraphic control downhole. Quite recently Ian Harding (1986) has shown by the presence of the dinocyst Muderongia simplex in Warlingham 1416 that correlation with the marine succession at Speeton, Yorkshire places this and all lower samples below the C2C/C2D boundary there, and thus they are of Hauterivian age. Consequently some of the earliest angiospermid pollen is just of latest Hauterivian age. There are as yet no radiometric ages in this part of the column and values given are only raised from interpolations.""",Magallón et al (2015),stem,Angiospermae,4 / apomorphy-based (apomorphies listed and tested),3 / molecular tree only,"Node assignment revised from Magallón et al 2015 (NewPhytol), who concluded: ""It is uncertain whether the Valanginian-early Hauterivian pollen grains with a columellar and perforate to reticulate wall structure are angiosperm stem representatives or crown group members. We here interpret them either as crown members, based on the distribution of ultrastructural attributes of the pollen wall among the earliest branches of extant angiosperms (i.e., Amborella, Nympnaeales, and Austrobaileyales + Mesangiospermae), or as stem representatives that existed shortly before the crown diversification of the group. The latter interpretation is supported by the unequivocal progressive and pronounced increase in diversity, abundance and distribution of angiosperm micro- and macrofossils starting in immediately younger sediments, until they become ubiquitous ecologically and geograhically at a Global level. These pollen grains are considered to mark the earliest occurrence of crown group angiosperms in the fossil record, and to provide the minimum age of the group.""","stem Angiospermae, min 129.4 Ma",129.4 Ma,†Hauterivian-Cactisulc Hughes & McDougall,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Hughes NF, McDougall AB. 1987. Records of angiospermid pollen entry into the English Early Cretaceous succession. Review of Palaeobotany and Palynology 50: 255–272.",,"Hughes NF, McDougall AB. 1987. Records of angiospermid pollen entry into the English Early Cretaceous succession. Review of Palaeobotany and Palynology 50: 255–272."
included,377,†Hauterivian-Colthick,129.4,stem Angiospermae,Angiospermae,,,Hughes et al (1991),,Pollen,KCE 682 - KCE 787,"Kingsclere borehole; also Warlingham borehole, Surrey, England (sample WM1488/7)",,UK,Hughes et al (1991),stratigraphic (upper limit of oldest stratigraphic age),Hauterivian,ICS (v2017/02),2 / unrevised (old source < 2000),"Hughes et al 1991 (JMicropal): ""As indicated in Fig.3, the reference succession is that of the Warlingham borehole, Surrey, in which the sample WM 1416 contained dinocysts of latest Hauterivian age (Hughes and McDougall, 1987).""",Magallón et al (2015),stem,Angiospermae,4 / apomorphy-based (apomorphies listed and tested),3 / molecular tree only,"Node assignment revised from Magallón et al 2015 (NewPhytol), who concluded: ""It is uncertain whether the Valanginian-early Hauterivian pollen grains with a columellar and perforate to reticulate wall structure are angiosperm stem representatives or crown group members. We here interpret them either as crown members, based on the distribution of ultrastructural attributes of the pollen wall among the earliest branches of extant angiosperms (i.e., Amborella, Nympnaeales, and Austrobaileyales + Mesangiospermae), or as stem representatives that existed shortly before the crown diversification of the group. The latter interpretation is supported by the unequivocal progressive and pronounced increase in diversity, abundance and distribution of angiosperm micro- and macrofossils starting in immediately younger sediments, until they become ubiquitous ecologically and geograhically at a Global level. These pollen grains are considered to mark the earliest occurrence of crown group angiosperms in the fossil record, and to provide the minimum age of the group.""","stem Angiospermae, min 129.4 Ma",129.4 Ma,†Hauterivian-Colthick Hughes et al,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Hughes N, McDougall A, Chapman J. 1991. Exceptional new record of Cretaceous Hauterivian angiospermid pollen from Southern England. Journal of Micropalaeontology 10: 75–82.",,"Hughes N, McDougall A, Chapman J. 1991. Exceptional new record of Cretaceous Hauterivian angiospermid pollen from Southern England. Journal of Micropalaeontology 10: 75–82."
included,376,†Retisulc-Muribeaded,129.4,stem Angiospermae,Angiospermae,,,Hughes & McDougall (1987),,Pollen,"Biorecord locality: Warlingham borehole, WM1456/5; prep. V958, stub JL57-300819, film GED B29/1.3.","Warlingham borehole, Surrey, England",,UK,Hughes & McDougall (1987),stratigraphic (upper limit of oldest stratigraphic age),Hauterivian,ICS (v2017/02),2 / unrevised (old source < 2000),"Hughes & McDougall 1987 (RevPalPal): ""Although our earliest angiospermid pollen (e.g. Warlingham 1415/6) was believed to be early Barremian in age, it was realised that there was no close stratigraphic control downhole. Quite recently Ian Harding (1986) has shown by the presence of the dinocyst Muderongia simplex in Warlingham 1416 that correlation with the marine succession at Speeton, Yorkshire places this and all lower samples below the C2C/C2D boundary there, and thus they are of Hauterivian age. Consequently some of the earliest angiospermid pollen is just of latest Hauterivian age. There are as yet no radiometric ages in this part of the column and values given are only raised from interpolations.""",Magallón et al (2015),stem,Angiospermae,4 / apomorphy-based (apomorphies listed and tested),3 / molecular tree only,"Node assignment revised from Magallón et al 2015 (NewPhytol), who concluded: ""It is uncertain whether the Valanginian-early Hauterivian pollen grains with a columellar and perforate to reticulate wall structure are angiosperm stem representatives or crown group members. We here interpret them either as crown members, based on the distribution of ultrastructural attributes of the pollen wall among the earliest branches of extant angiosperms (i.e., Amborella, Nympnaeales, and Austrobaileyales + Mesangiospermae), or as stem representatives that existed shortly before the crown diversification of the group. The latter interpretation is supported by the unequivocal progressive and pronounced increase in diversity, abundance and distribution of angiosperm micro- and macrofossils starting in immediately younger sediments, until they become ubiquitous ecologically and geograhically at a Global level. These pollen grains are considered to mark the earliest occurrence of crown group angiosperms in the fossil record, and to provide the minimum age of the group.""","stem Angiospermae, min 129.4 Ma",129.4 Ma,†Retisulc-Muribeaded Hughes & McDougall,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Hughes NF, McDougall AB. 1987. Records of angiospermid pollen entry into the English Early Cretaceous succession. Review of Palaeobotany and Palynology 50: 255–272.",,"Hughes NF, McDougall AB. 1987. Records of angiospermid pollen entry into the English Early Cretaceous succession. Review of Palaeobotany and Palynology 50: 255–272."
included,375,†Retisulc-Muriverm,129.4,stem Angiospermae,Angiospermae,,,Hughes & McDougall (1987),,Pollen,"Biorecord: Hunstanton borehole, HUN 170; prep. X240, stub GD243-348799, film AMD98/91, 92.","Hunstanton borehole, Norfolk, England",,UK,Hughes & McDougall (1987),stratigraphic (upper limit of oldest stratigraphic age),Hauterivian,ICS (v2017/02),2 / unrevised (old source < 2000),"Hughes & McDougall 1987 (RevPalPal): ""Although our earliest angiospermid pollen (e.g. Warlingham 1415/6) was believed to be early Barremian in age, it was realised that there was no close stratigraphic control downhole. Quite recently Ian Harding (1986) has shown by the presence of the dinocyst Muderongia simplex in Warlingham 1416 that correlation with the marine succession at Speeton, Yorkshire places this and all lower samples below the C2C/C2D boundary there, and thus they are of Hauterivian age. Consequently some of the earliest angiospermid pollen is just of latest Hauterivian age. There are as yet no radiometric ages in this part of the column and values given are only raised from interpolations.""",Magallón et al (2015),stem,Angiospermae,4 / apomorphy-based (apomorphies listed and tested),3 / molecular tree only,"Node assignment revised from Magallón et al 2015 (NewPhytol), who concluded: ""It is uncertain whether the Valanginian-early Hauterivian pollen grains with a columellar and perforate to reticulate wall structure are angiosperm stem representatives or crown group members. We here interpret them either as crown members, based on the distribution of ultrastructural attributes of the pollen wall among the earliest branches of extant angiosperms (i.e., Amborella, Nympnaeales, and Austrobaileyales + Mesangiospermae), or as stem representatives that existed shortly before the crown diversification of the group. The latter interpretation is supported by the unequivocal progressive and pronounced increase in diversity, abundance and distribution of angiosperm micro- and macrofossils starting in immediately younger sediments, until they become ubiquitous ecologically and geograhically at a Global level. These pollen grains are considered to mark the earliest occurrence of crown group angiosperms in the fossil record, and to provide the minimum age of the group.""","stem Angiospermae, min 129.4 Ma",129.4 Ma,†Retisulc-Muriverm Hughes & McDougall,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453.","Hughes NF, McDougall AB. 1987. Records of angiospermid pollen entry into the English Early Cretaceous succession. Review of Palaeobotany and Palynology 50: 255–272.",,"Hughes NF, McDougall AB. 1987. Records of angiospermid pollen entry into the English Early Cretaceous succession. Review of Palaeobotany and Palynology 50: 255–272."
included,164,†unnamed cuticle 3,113,crown Austrobaileyales,Angiospermae,Austrobaileyales,,Upchurch (1984b),Doyle & Upchurch (2014),Dispersed cuticle,UMMP 65126-56,"Drewry's Bluff locality, Virginia",Potomac Zone I,USA,Upchurch (1984b),stratigraphic (upper limit of oldest stratigraphic age),Aptian,ICS (v2017/02),4 / revised (stratigraphic),"Upchurch 1984b (AmJBot): ""This sites located on the James River south of Richmond, Virginia, at Drewry's BluS, yields a pollen flora assignable to upper Zone I of Brenner (Aptian?), similar to one described by Doyle and Hickey (1976) from a compa- rable elevation at the south end ofthe exposure (Doyle, pers. commun.).""",Doyle & Upchurch (2014),crown,Austrobaileyales,3 / apomorphy-based (apomorphies unlisted or untested),3 / molecular tree only,"Doyle & Upchurch 2014 (BullPeabodyMusNatHis): ""Because most of the leaf traits discussed so far may be plesiomorphic, they are only consistent with the presence of plants at the ANITA grade and do not support a relationship with any particular clade. However, the dispersed cuticle record at Dutch Gap and Drewry’s Bluff indicates the presence of crown group Austrobaileyales. Two cuticle types (Figure 3A–C) have a combination of features found in this order, including elliptic to round guard cell pairs, striate surface sculpture, and a variable pattern of subsidiary cell arrangement (Upchurch 1984a, 1984b; Carpenter 2005, 2006). The polarity of these characters is uncertain, although Carpenter (2006) proposed that striations may be a synapomorphy of Austrobaileyales and mesangiosperms. However, the fossils also have T-pieces at the stomatal poles, a feature developed to varying degrees in Trimenia and Schisandraceae (sensu APG 2009), especially Illicium, but not reported in the basal genus Austrobaileya, other ANITA-grade taxa, Chloranthaceae, and magnoliids, indicating a position nested within Austrobaileyales (Figure 4).""","crown Austrobaileyales, min 113 Ma",113 Ma,†unnamed cuticle 3 Upchurch,"Doyle JA, Upchurch GR. 2014. Angiosperm Clades in the Potomac Group: What Have We Learned since 1977? Bulletin of the Peabody Museum of Natural History 55: 111–134.",Upchurch GR. 1984. Cuticular Anatomy of Angiosperm Leaves from the Lower Cretaceous Potomac Group. I. Zone I Leaves. American Journal of Botany 71: 192–202.,"Doyle JA, Upchurch GR. 2014. Angiosperm Clades in the Potomac Group: What Have We Learned since 1977? Bulletin of the Peabody Museum of Natural History 55: 111–134.",Upchurch GR. 1984. Cuticular Anatomy of Angiosperm Leaves from the Lower Cretaceous Potomac Group. I. Zone I Leaves. American Journal of Botany 71: 192–202.
included,163,†Anacostia marylandensis,107.7,stem Schisandraceae (Austrobaileyales),Angiospermae,Austrobaileyales,Schisandraceae,Friis et al (1997),,Isolated fruits (carpels) with enclosed seeds and adhering pollen,Holotype: PP44159 (sample 175 Kenilworth),"Kenilworth locality, Maryland (Washington East Quadrangle, 7.5 minute Series, 38°55'53""N; 76°55'45""W)
Patapsco Formation, Potomac Group","Potomac Group, Patapsco Formation",USA,Magallón et al (2015),stratigraphic (upper limit of oldest stratigraphic age),middle Albian,Ogg & Hinnov (2012),4 / revised (stratigraphic),"Magallón et al 2015 (NewPhytol) state: ""Anacostia marylandensis Friis, Crane & Pedersen, from the Kenilworth locality, Maryland (Friis et al., 1997), where the fruit and seed-bearing sediments are considered to correspond to the palynological subzone II-B of the Potomac Group sequence, corresponding to early-middle Albian (Friis et al., 2011 and references therein)"". Doyle & Endress (2014) and Doyle & Upchurch (2014) also refer to a middle Albian age for this locality, citing the same reference (Friis et al. 1997). Note that the fossil from the Puddledock locality, Anacostia virginiensis, would provide a constraint of the same age (see Massoni et al 2015 (PE) on +Cohongarootonia hispida and +Virginianthus calycanthoides).",Doyle & Endress (2014),stem,Schisandraceae,5 / phylogenetic analysis,5 / combined morphological and molecular analysis (total evidence or backbone),"Doyle & Endress (2014) presented molecular backbone phylogenetic analyses of a fossil taxon identified as ""Anacostia"", which was presumably scored on the basis of the collective characters of the four known species (in particular the ""Puddledock floral axis""). Their results supported a position nested in Austrobaileyales, either as sister to Schisandraceae or Schisandra alone. The same results were obtained in earlier analyses based on an older dataset (Doyle et al. 2008) and were summarized again by Doyle & Upchurch (2014). We here make the assumption that these results apply to any of the constituent species of Anacostia.","stem Schisandraceae (Austrobaileyales), min 107.7 Ma",107.7 Ma,"†Anacostia marylandensis Friis, Crane & Pedersen","Doyle JA, Endress PK. 2014. Integrating Early Cretaceous fossils into the phylogeny of living angiosperms: ANITA lines and relatives of Chloranthaceae. International Journal of Plant Sciences 175: 555–600.","Friis EM, Crane PR, Pedersen KR. 1997. Anacostia, a new basal angiosperm from the Early Cretaceous of North America and Portugal with trichotomocolpate/patemonocolpate pollen. Grana 36: 225–244.",,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453."
included,359,†Anacostia portugallica,110.8,stem Schisandraceae (Austrobaileyales),Angiospermae,Austrobaileyales,Schisandraceae,Friis et al (1997),,Fruiting units,S105039 (sample Portugal 141 Vale de Agua),"Vale de Agua, ca. 5 km southwest of Batalha",,Portugal,Magallón et al (2015),stratigraphic (upper limit of oldest stratigraphic age),early Albian,Ogg & Hinnov (2012),4 / revised (stratigraphic),"Magallón et al 2015 (NewPhytol) state: ""A. portugallica Friis, Crane & Pedersen, from the Vale de Agua locality, Portugal, considered to be late Aptian-early Albian (Heimhofer et al., 2007; Friis et al., 2011)"". Doyle & Endress (2014) and Doyle & Upchurch (2014) also refer to an early Albian age for this locality, citing the same reference (Friis et al. 1997). Note that the fossil from the Famalicão locality, Anacostia teixeirae, would provide a constraint of the same age.",Doyle & Endress (2014),stem,Schisandraceae,5 / phylogenetic analysis,5 / combined morphological and molecular analysis (total evidence or backbone),"Doyle & Endress (2014) presented molecular backbone phylogenetic analyses of a fossil taxon identified as ""Anacostia"", which was presumably scored on the basis of the collective characters of the four known species (in particular the ""Puddledock floral axis""). Their results supported a position nested in Austrobaileyales, either as sister to Schisandraceae or Schisandra alone. The same results were obtained in earlier analyses based on an older dataset (Doyle et al. 2008) and were summarized again by Doyle & Upchurch (2014). We here make the assumption that these results apply to any of the constituent species of Anacostia.","stem Schisandraceae (Austrobaileyales), min 110.8 Ma",110.8 Ma,"†Anacostia portugallica Friis, Crane, et Pedersen","Doyle JA, Endress PK. 2014. Integrating Early Cretaceous fossils into the phylogeny of living angiosperms: ANITA lines and relatives of Chloranthaceae. International Journal of Plant Sciences 175: 555–600.","Friis EM, Crane PR, Pedersen KR. 1997. Anacostia, a new basal angiosperm from the Early Cretaceous of North America and Portugal with trichotomocolpate/patemonocolpate pollen. Grana 36: 225–244.",,"Magallón S, Gómez-Acevedo S, Sánchez-Reyes LL, Hernández-Hernández T. 2015. A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity. New Phytologist 207: 437–453."
included,166,†Jaguariba wiersemana,113,crown Cabombaceae+Nymphaeaceae,Angiospermae,Nymphaeales,,Coiffard et al (2013a),,Complete plant,"Holotype: MB. Pb. 1997/1291 (Repository: Museum fu¨r Naturkunde, Berlin)","Nova Olinda, Region Araripe, open carst pit","Crato Formation, Nova Olinda member",Brazil,Massoni et al (2015),stratigraphic (upper limit of oldest stratigraphic age),Aptian,ICS (v2017/02),4 / revised (stratigraphic),"See Massoni et al 2015 (PE) on +Endressinia brasiliana: ""The fossil considered here was collected from the Crato Formation in the Araripe sedimentary basin of northeastern Brazil (Mohr et al., 2013). Mohr and Bernardes-de-Oliveira (2004) assumed that the Crato Formation is late Aptian or early Albian in age, based on numerous previous estimates (e.g., Pons et al., 1996). Because of this uncertainty, Clarke et al. (2011) proposed a minimum age for the Crato of 98.7 Ma, the top of the Albian. However, evidence has been accumulating in favor of a late Aptian age (Coimbra et al., 2002). Most recently, using gymnosperm pollen and dinoflagellates to correlate with better-dated sections, Heimhofer and Hochuli (2010) concluded that the Aptian-Albian boundary lies above the Crato Formation, and this was accepted by Mohr et al. (2013). We therefore propose a minimum age of 112.6 Ma for Endressinia, the Aptian-Albian boundary (113 ±0.4 Ma; Ogg and Hinnov, 2012).""",Coiffard et al (2013a),crown,Cabombaceae+Nymphaeaceae,5 / phylogenetic analysis,2 / morphological tree only,"The phylogenetic analysis of Coiffard et al (2013) based on morphological data suggested a position nested in Nymphaeoideae, as sister to Barclaya (with weak support), which would justify an assignment to at least crown Nymphaeaceae. However, recent molecular phylogenetic analyses have challenged traditional relationships in the family, including the monophyly of the family as a whole (e.g., Gruenstaeudl et al. 2017), calling for caution in interpreting the results from the morphological analysis of Coiffard et al (2013). For this reason, we consider it safer to assign this fossil to the crown node of the Cabombaceae+Nymphaeaceae clade, which is the same as the stem node of Nymphaeaceae if they are monophyletic.","crown Cabombaceae+Nymphaeaceae, min 113 Ma",113 Ma,"†Jaguariba wiersemana Coiffard, B.A.R. Mohr & Bernardes-de-Oliveira","Coiffard C, Mohr BAR, Bernardes-de-Oliveira MEC. 2013. Jaguariba wiersemana gen. nov. et sp. nov., an Early Cretaceous member of crown group Nymphaeales (Nymphaeaceae) from northern Gondwana. Taxon 62: 141–151.","Coiffard C, Mohr BAR, Bernardes-de-Oliveira MEC. 2013. Jaguariba wiersemana gen. nov. et sp. nov., an Early Cretaceous member of crown group Nymphaeales (Nymphaeaceae) from northern Gondwana. Taxon 62: 141–151.",,"Massoni J, Doyle J, Sauquet H. 2015. Fossil calibration of Magnoliidae, an ancient lineage of angiosperms. Palaeontologia Electronica: 18.1.2FC."
included,167,†Scutifolium jordanicum,100.5,stem Cabombaceae (Nymphaeales),Angiospermae,Nymphaeales,Cabombaceae,Taylor et al (2008a),,Leaves,"Holotype: 99–2B-Na,b Yale Peabody Museum (YPM)","Mahis locality in north-central Jordan at N 31°59'43.7'', E 035°45'29.2''","Jurash formation, Kurnub group",Jordan,Taylor et al (2008a),stratigraphic (upper limit of oldest stratigraphic age),Albian,ICS (v2017/02),3 / unrevised (recent source >= 2000),"Taylor et al 2008a (AmJBot): ""The age of the Kurnub Group is late Neocomian/early Barremian (130 Ma) to Albian (100 Ma) of the Early Cretaceous ( Amireh, 1997 , 2000 ; Amireh and Abed, 1999 ) based on several lines of evidence. The lower age is constrained by Kurnub Group ’ s position above the Middle to Late Jurassic Carbonates ( Basha, 1983; Amireh and Abed, 1999 ). The Neocomian age is based on the fern Weichselia reticulata ( Edwards, 1926 ), and a palynomorphic study of the lower Kurnub Group ( Al-Said and Mustafa, 1994 ). Based on pollen zonation ( Brenner, 1976 , 1996 ), Brenner and Bickoff (1992) proposed a late Barremian age for the basal part of the Kurnub Group in Israel. The upper age constraint is based on the position of the Kurnub Group ’ s position below the Cenomanian Nodular Limestone Member of the Na ’ ur Formation of the Ajlun Group. The upper Albian age is based upon the ammonite Knemiceras and a glauconite marker bed in the Bir Fa ’ as Formation at the top of the Kurnub Group ( Amireh, 1997 ; Amireh et al., 1998 ) dated at 96.1 ± 1.1 Ma (million years ago) ( Amireh et al., 1998 ). Carbonaceous layers from the Upper Jarash Formation also contain Albian palynomorphs (G. J. Brenner, S. H. Basha and D. W. Taylor, unpublished data on palynology of several localities). The new fossil was collected from Meandering River facies of the upper Jarash Formation, below the glauconitic sandstone that is part of the Bir Fa ’ as Formation. Because the Bir Fa ’ as Formation is considered Albian in age ( Amireh et al., 1998 ; G. J. Brenner, S. H. Basha and D. W. Taylor, unpublished pollen data), the specimen must be of Albian age (105 Ma) or older.""",Taylor et al (2008a),stem,Cabombaceae,5 / phylogenetic analysis,2 / morphological tree only,"Taylor et al 2008a (AmJBot): ""Comparisons to plants with centrally peltate leaves and palmate venation and to aquatic plants with fl oating leaves suggest that S. jordanicum belongs to the Cabombaceae lineage within the Nymphaeales. Cladistic analysis including the fossil and living members of the Nymphaeales shows that the S. jordanicum is basal to the living members of the family and has unique characters not found in any living genera.""","stem Cabombaceae (Nymphaeales), min 100.5 Ma",100.5 Ma,"†Scutifolium jordanicum Taylor, Brenner & Basha","Taylor DW, Brenner GJ, Basha SH. 2008. Scutifolium jordanicum gen. et sp. nov. (Cabombaceae), an aquatic fossil plant from the Lower Cretaceous of Jordan, and the relationships of related leaf fossils to living genera. American Journal of Botany 95: 340–352.","Taylor DW, Brenner GJ, Basha SH. 2008. Scutifolium jordanicum gen. et sp. nov. (Cabombaceae), an aquatic fossil plant from the Lower Cretaceous of Jordan, and the relationships of related leaf fossils to living genera. American Journal of Botany 95: 340–352.",,"Taylor DW, Brenner GJ, Basha SH. 2008. Scutifolium jordanicum gen. et sp. nov. (Cabombaceae), an aquatic fossil plant from the Lower Cretaceous of Jordan, and the relationships of related leaf fossils to living genera. American Journal of Botany 95: 340–352."
