Fossil,CODE,,NODE,USED,,,Affinities,Stem_Crown,Period,Age,Period_cal,Age_cal,max,Specimen,Locality,Formation,Justification,Reference
Ambystoma_cfmaculatum,1,Crown_Ambystoma,Ambystomidae + Ambystomidae,XX,,1,Ambystoma,crown,latest Miocene – early Pliocene (late Hemphillian),,Zanclean,3.6,166,ETMNH 8045,"The Gray Fossil Site, Tennessee",,Apomorphies,Darcy-2015
Dicamptodon_antiquus,11,Stem_Dicamptodon,Ambystomidae + Dicamptodontidae,XX,,11,Dicamptodon,stem,Late Paleocene,,Thanetian,56,113,Holotype: UALVP 32387,"UALVP Smoky Tower #1 locality, west-central Alberta, Canada",Paskapoo Fm.,,Naylor_Fox-1993
Seminobatrachus_boltyschkensis,31,Stem_Ambystomatoidea,Ambystomidae + Salamdridae,XX,,31,Ambystomatoidea,stem,late Paleocene–early Eocene,,Ypresian,56,113,Holotype: PIN 3991/9,"Drill hole near Boltyshka village, Cherkassy Region, central Ukraine",Lower unit of unnamed sapropelite strata,Phylogenetic analysis,Skutschas_Gubin-2012
Proamphiuma_cretaceae,30,,Amphiumidae + Plethodontidae,XX,,30,Amphiumidae,stem,Late Maastrichtian-early Paleocene,,Danian,61.6,113,Holotype: MCZ 3504,"Bug Creek Anthills, McCone County, Montana, USA ",Hell Creek Fm.,Apomorphies,Gardner_2003
Cryptobranchus_saskatchewanensis,10,Crown_Cryptobranchidae,Andrias + Cryptobranchus,XX,,10,Cryptobranchidae,crown,Late Paleocene,,Thanetian,56,166.1,Holotype: UALVP 14858,"UALVP Roche Percée loc. UAR 2, southeastern Saskatchewan, Canada",Ravenscrag Fm.,,Naylor-1981
Palaeoplethodon_hispaniolae,24,Crown_Hemidactyliinae,Eurycea + Bolitoglossa,XX,,24,Hemidactyliinae,crown,Late Eocene to Lower Miocene,,Burdigalian,15.97,113,Holotype: accession # AM-3-15,Amber mine in the northern mountain range (Cordillera Septentrional) of the Dominican Republic,Mamey Group,Apomorphies,Poinar_Wake-2015
Linglongtriton_daxishanensis,20,Stem_Hynobiidae,Hynobiidae + Cryptobranchidae,XX,,20,Hynobiidae,stem,Upper Jurassic,,Oxfordian,157.3,166.1,Holotype: PKUP V0277,"Daxishan fossil locality (40°52′210′′N, 119°59′297′′E), ca. 15 km northeast of the county town of Jian- chang, Liaoning Province, China",Lanqi/Tiao- jishan Fm.,Phylogenetic analysis,Jia_Gao-2019
Habrosaurus_prodilatus,14,Stem_Sirenidae,Hynobiidae + Sirenidae,XX,,14,Sirenidae,stem,Middle Campanian,,Campanian,72.1,166.1,Holotype: UALVP 43906,"Irvine microvertebrate locality, Alberta, Canada",Dinosaur Park Fm.,Apomorphies,Gardner_2003b
Carpathotriton_matraensi ,7,Crown_coreMolgini,Lissotriton + Paramesotriton,XX,,7,coreMolgini,crown,Middle Miocene (MN 7/8),,Late Serravalian,11.63,113,Holotype: MMP.2005.361,"Matraszolos locality 2, a section of road below the Rakoczi Chapel, situated at the northern margin of the small village of Matraszolos, North Hungary",Sajo Valley Fm.,Phylogenetic analysis place it within core Salamdridae,Venczel-2008
Triassurus_sixtelae,35,Stem_Caudata,Pipidae + Plethodontidae,XX,,35,Caudata,stem,Ladinian/Carnian,,Carnian,227,280,Holotype: PIN-2584/10,"Madygen, Turkestan Range, southwestern Kyrgyzstan",Madygen Fm.,Phylogenetic analysis,Schoch_etal-2020
Plethodon_sp,29,Stem_Plethodon,Plethodon + Desmognathus,XX,,29,Plethodon,stem,Lower Miocene,,Burdigalian,15.97,113,MSUMP 6504-2003,"Granite County, Montana",Cabbage Patch Fm.,Apomorphies,Tihen_Wake-1981
Kiyatriton_leshchinskiyi,16,Crown_Caudata,Plethodontidae + Cryptobranchidae,XX,,16,Caudata,crown,Bathonian,,Bathonian,166.1,280,Holotype: ZIN PH 9/144,"Berezovsk Quarry, 2 km south of Nikol’skoe village, Sharypovo District, Krasnoyarsk Territo- ry, Western Siberia, Russia",Grey clays of the upper part of the Itat Formation,Apomorphies,Skutschas-2016
Paranecturus_garbanii,27,Stem_Proteidae,Plethodontidae + Proteidae,XX,,27,Proteidae,stem,late Maastrichtian,,Maastrichtian,66,113,Holotype: UWBM 93370,"UWBM C1153 (= UCMP V82022), Garfield County, Montana, U.S.A.",Hell Creek Fm.,Phylogenetic analysis,Demar-2013
Chelotriton_sp,8,Crown_Pleurodelini,Pleurodeles + Tylototriton,XX,,8,Pleurodelini,crown,latest Oligocene,,Chattian,23.03,113,MB.Am.45,"Orsberg near Erpel, close to Linz in Rhineland-Palatinate, Germany ",Blätterkohle,Phylogenetic analysis,Marjanovic_Witzmann-2015
Palaeoproteus_gailicus,25,Crown_Salamandridae,Salamandridae + Salamandridae,XX,,25,Salamandridae,crown,Paleocene,,Thanetian,56,113,C.R. No. 6692,"Cernay, Lemoine Quarry",Conglomerat de Cernay,Apomorphies,Estes_etal-1967
Taricha_oligocenica,33,Stem_Taricha,Taricha + Notophthalmus,XX,,33,Taricha,stem,Early Oligocene,Ar: 34.85–32.8 ,Rupelian,32.8,113,Holotype: UOMNH F-5405,"Lane County, Oregon",Mehama Fm.,Phylogenetic analysis,Jacisin_Hopkins-2018
