FOSSIL,AFFINITIES,Age Max,Age Min,Period,Region,Locality,FORMATION,Structure,Specimen,Collection,REFERENCE
Alienopteris_livingstonensis,Core_tree_ferns,125,113,Aptian,Antartica,"Rotch Dome, Byers Peninsula, South Shetland Islands",Cerro Negro Fm.,Stem,"BA Pb 14950 (BA Pb Pm 548, 549, 550) (holotype), BA Pb 14953 (BA Pb Pm 552) (paratype)","Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",Vera-2008
Alsophila_antarctica,Cyathea_NW,33.9,20.44,Lower Miocene-Oligocene,Patagonia,"Canyon of Rio Nirihuao, Territory of Rio Negro",,Sterile foliage,Cat. no. 37851,United States National Museum,Berry-1928
Alsophila_arcuata,Cyatheaceae,112,99.6,Albian,Russia,"The northern shore of the Aral Sea, in the south of the Kulandy Peninsula ",,Spores,"sl. 1, arr. 12, ИГН АН СССР no. 3527/26","Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Bolchotinova_1953 (google books)
Alsophila_formosa,Cyatheaceae,99.6,88.6,Cenomanian-Turonian,Russia,"Kem River, 300 m below the village of Maslennikovo",Chulymo-Eniseisk Basin,Spores,3СФАН СССР No. 6 (holotype),"Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Chlonova-1960
Alsophila_major,Cyatheaceae,125,113,Aptian (Lower Cretaceous),Azerbaijan,Verkhniy Agjakend,Emba river Basin,Spores,coll. V.A. Vakhrameeva,"Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Bolchotinova_1953 (google books)
Alsophilidites_delectus,Cyatheaceae,99.6,66,Upper Cretaceous,Russia,"Yakutia, Vilyuy",Linden Fm.,Spores,ГИН АН СССР No. 3530/471,"Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Bolochotinova_1959
Alsophilocaulis_calveloi,Cyatheaceae,28,23,Late Oligocene,Patagonia,"8 km from Aluminé City, Neuquen Province",Rancahue Fm.,Stem,"BA Pb 7696 (holotype), MCF-PBPH 215 (microscope slides A-C)","Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",Vera-2010
Cibotiocaulis_tateiwai,Cyatheaceae,133.9,130,Hauterivian,Korea,North Kyong Sang Province,,Stem,Specimen 5 (holotype),University Museum of the University of Tokyo,"Ogura-1927b, Nishida 1989"
Cibotium_iwatense,Cibotiaceae,90,86,Lower Senonian,Japan,"Kunobe-Gun, Iwate-Ken",,Stem,Only sketches are provided,Geological Institute of Hokkaido Imperial University,Ogura-1933
Cibotium_oregonense,Cibotiaceae,40.4,33.9,Upper Eocene ?,North America,"Unknown, Medford, Oregon",,Petioles and stem,60674 (holotype),"Paleobotanical Collections of the Botanical Museum, Harvard University",Barrington-1983
